scoring	0.0 Hz	1.2 Hz	2.5 Hz	3.7 Hz	5.0 Hz	6.2 Hz	7.5 Hz	8.7 Hz	10.0 Hz	11.2 Hz	12.5 Hz	13.7 Hz	15.0 Hz	16.2 Hz	17.5 Hz	18.7 Hz	20.0 Hz	21.2 Hz	22.5 Hz	23.7 Hz	25.0 Hz	26.2 Hz	27.5 Hz	28.7 Hz	30.0 Hz	31.2 Hz	32.5 Hz	33.7 Hz	34.9 Hz	36.2 Hz	37.4 Hz	38.7 Hz	39.9 Hz	41.2 Hz	42.4 Hz	43.7 Hz	44.9 Hz	46.2 Hz	47.4 Hz	48.7 Hz	signal	motion	accelerometer
na	11.218	68.127	255.616	281.946	553.661	538.135	263.185	137.765	212.096	185.812	80.096	65.025	80.744	52.862	38.746	25.229	31.438	23.847	15.82	31.284	19.541	15.983	14.594	12.569	13.281	7.087	6.755	6.265	4.697	5.692	4.699	4.596	3.268	2.924	2.163	2.542	1.595	1.198	1.304	1.817	50.276	0.196	0.196
na	6.728	48.961	174.618	235.258	781.501	423.695	308.817	297.413	163.386	175.507	84.649	49.945	59.448	60.682	37.046	28.251	31.894	42.572	27.431	21.335	13.89	10.102	9.223	15.097	10.321	7.84	8.468	5.599	5.589	4.956	4.383	2.974	2.211	2.964	2.031	2.274	1.396	1.213	1.016	0.99	50.367	0.254	0.254
na	13.66	54.416	139.824	275.093	757.224	472.554	271.039	165.866	129.77	138.465	81.976	70.886	50.402	46.851	38.677	37.314	34.233	23.419	19.145	21.265	17.542	15.768	9.4	9.71	10.746	11.181	7.899	6.272	3.823	4.794	4.645	2.848	3.213	3.041	2.106	2.969	1.529	2.435	1.585	1.649	48.971	0.228	0.228
na	21.538	86.665	262.912	288.134	486.409	778.503	242.509	221.477	150.431	129.456	61.05	54.933	33.83	41	36.924	23.852	28.988	20.102	21.532	16.798	16.863	15.386	9.045	7.856	10.281	7.394	6.07	7.34	5.936	4.527	3.628	3.591	3.615	1.817	2.239	2.786	1.699	1.612	1.892	1.144	50.404	0.184	0.184
na	8.273	61.82	357.091	350.957	826.442	519.816	222.427	153.882	115.604	111.388	61.23	81.762	53.855	40.69	48.878	23.763	27.699	26.314	31.837	16.215	15.866	12.143	10.142	14.158	9.066	9.704	9.769	6.854	4.871	3.937	4.997	3.372	3.609	2.462	2.863	2.723	2.528	1.85	1.377	1.24	50.853	0.116	0.116
na	7.987	48.263	148.113	314.855	717.93	556.466	288.717	187.492	131.533	105.953	93.572	54.177	41.465	52.513	38.903	29.749	18.67	28.696	26.689	18.332	18.921	15.228	14.592	12.234	12.092	7.866	7.338	6.71	4.353	4.693	2.893	5.146	2.703	2.252	2.309	2.188	2.376	1.32	0.919	0.791	49.961	0.109	0.109
na	16.438	77.104	244.221	469.017	502.246	666.209	373.334	219.094	152.752	102.48	103.275	71.784	48.737	37.674	33.688	27.818	27.731	30.917	21.248	20.398	17.146	15.744	13.209	11.463	8.207	11.108	4.754	6.119	6.835	4.619	3.874	3.966	3.297	2.831	2.312	2.753	1.565	2.35	1.463	1.267	52.232	0.105	0.105
na	12.898	113.173	311.89	676.756	682.622	356.906	360.834	151.606	136.374	70.764	76.34	69.587	41.87	39.856	28.746	31.885	30.593	35.099	22.113	22.031	17.358	16.995	8.657	9.865	9.699	8.178	6.733	6.619	4.114	4.491	5.665	3.546	3.834	2.559	2.657	1.555	1.726	0.795	1.028	1.197	51.682	0.114	0.114
na	14.25	80.956	339.568	538.085	378.884	395.386	351.391	161.771	117.183	82.47	64.106	35.916	56.519	41.638	28.888	36.273	18.266	25.223	19.591	19.773	17.983	14.347	10.282	11.739	7.365	6.757	6.569	5.177	3.893	6.815	2.829	3.016	2.53	2.783	2.629	1.391	1.588	1.054	1.347	1.164	48.389	0.132	0.132
na	10.176	65.67	260.926	397.543	502.649	285.468	333.949	149.262	76.688	54.286	52.207	45.657	30.995	41.555	36.199	23.579	25.521	22.155	24.378	15.994	20.998	13.284	12.042	9.346	10.064	5.803	7.907	7.433	3.755	4.49	4.325	3.344	2.628	2.356	2.602	1.17	2.075	1.664	1.461	1.338	45.184	0.152	0.152
